"","ЗАНЯТОСТЬ И БЕЗРАБОТИЦА","","","",""
"","5.1. ЧИСЛЕННОСТЬ РАБОЧЕЙ СИЛЫ, ЗАНЯТЫХ И БЕЗРАБОТНЫХ в возрасте 15-72 лет","","","",""
"","(тысяч человек)","","","",""
"","2014","2015","2016","2017","2018"
"Численность рабочей силы1) – всего","1153,3","1180,4","1159,2","1131,3","1154,8"
"мужчины","598,3","615,3","609,2","593,2","600,8"
"женщины","555,0","565,1","550,0","538,1","554,0"
"в том числе:","","","","",""
"занятые – всего","1069,9","1085,6","1059,6","1053,1","1084,5"
"мужчины","552,8","561,0","558,4","552,3","564,8"
"женщины","517,1","524,6","501,2","500,8","519,7"
"безработные – всего","83,4","94,8","99,6","78,2","70,3"
"мужчины","45,5","54,3","50,8","41,0","36,0"
"женщины","37,9","40,5","48,8","37,2","34,3"
"Численность безработных, зарегистрирован-","","","","",""
"ных в государственных учреждениях службы","","","","",""
"занятости2) (на конец года) – всего","20,7","22,2","20,0","18,7","17,4"
"мужчины","11,6","12,4","11,5","10,9","10,2"
"женщины","9,1","9,8","8,5","7,8","7,2"
"Из них безработные, которым назначено посо-","","","","",""
"бие по безработице – всего","19,2","20,6","18,0","17,3","15,7"
"мужчины","…","…","…","…","…"
"женщины","…","…","…","…","…"
