"","4.11. РАСПРЕДЕЛЕНИЕ СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ ПО ЧИСЛУ ЖИТЕЛЕЙ1)","","","",""
"","","(по данным переписей населения)","","",""
"","Число сельских","","","Численность населения,",""
"","населенных пунктов","","","человек",""
"","2002","2010","2002","","2010"
"Сельские населенные","","","","",""
"пункты – всего","1620","1598","1220661","","1096177"
"в том числе:","","","","",""
"без населения","16","25","-","","-"
"с населением","1604","1573","1220661","","1096177"
"из них с числом жи-","","","","",""
"телей, человек:","","","","",""
"10 и менее","53","71","262","","352"
"11-50","109","142","3056","","4232"
"51-100","108","152","8331","","11708"
"101-500","658","611","166821","","154932"
"501-1000","326","327","235037","","237760"
"1001-3000","286","206","408288","","298258"
"3001 и более","64","64","398866","","388935"
"1) Данные приведены:  2002 г. – по переписи на 9 октября, 2010 г. – по переписи на 14 октября. Постоянное население.","","","","",""
