"","8.10.  ПРОФИЛАКТИЧЕСКИЕ ОСМОТРЫ НАСЕЛЕНИЯ,","","","",""
"","ПОДЛЕЖАЩЕГО ПЕРИОДИЧЕСКИМ ОСМОТРАМ","","","",""
"","2014","2015","2016","2017","2018"
"Всего осмотренных:","","","","",""
"тыс. человек","1075,2","1301,9","901,9","891,0","1020,9"
"взрослых","605,2","827,7","838,7","825,6","953,6"
"подростков","64,2","62,3","62,3","65,4","67,3"
"детей","405,8","411,9","…","…","…"
"в процентах от численности подлежащих","","","","",""
"осмотрам","","","","",""
"взрослых","94,7","97,9","99,6","99,0","97,9"
"подростков","97,6","100,4","100,0","100,0","99,9"
"детей","100,0","100,0","…","…","…"
