"","6.2. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ","","",""
"","(в текущих ценах; миллионов рублей)","","",""
"","2014","2015","2016","2018"
"Фактическое конечное потребление домашних","","","",""
"хозяйств","468976,9","493751,0","503717,0","516312,5"
"в том числе за счет:","","","",""
"расходов домашних хозяйств","403488,4","426910,0","435582,8","444431,7"
"из них:","","","",""
"расходы на покупку товаров и оплату услуг","373272,6","394148,8","404784,8","421461,5"
"потребление товаров и услуг в натуральной","","","",""
"форме","30215,8","32761,2","30798,1","22970,2"
"в том числе потребление продукции собст-","","","",""
"венного производства","25227,3","26117,3","25687,6","18478,9"
"социальных трансфертов в натуральной форме1)","65488,5","66841,0","68134,2","71880,8"
