"","6.23. НАЛИЧИЕ ПРЕДМЕТОВ ДЛИТЕЛЬНОГО","","","",""
"","ПОЛЬЗОВАНИЯ В ДОМАШНИХ ХОЗЯЙСТВАХ","","","",""
"","(по материалам выборочного обследования бюджетов","","","",""
"","домашних хозяйств; на конец года; на 100 домохозяйств; штук)","","","",""
"","2014","2015","2016","2017","2018"
"Телевизоры","159","160","162","157","158"
"Видеомагнитофоны, видеокамеры","92","69","59","45","45"
"Магнитофоны, плееры","22","24","26","17","14"
"Персональные, портативные компьютеры","96","122","118","109","115"
"Музыкальные центры","29","28","25","24","20"
"Холодильники, морозильники","140","135","140","141","143"
"Стиральные машины","110","105","104","104","103"
"Электропылесосы","101","100","98","99","99"
"Швейные, вязальные машины","45","51","43","41","49"
