"","5.16. УДЕЛЬНЫЙ ВЕС ЧИСЛЕННОСТИ МУЖЧИН И ЖЕНЩИН,","","","","","","",""
"","ЗАНЯТЫХ ВО ВРЕДНЫХ И ОПАСНЫХ УСЛОВИЯХ ТРУДА, в 2018 г.","","","","","","",""
"","(на конец года; в процентах от общей численности работников","","","","","","",""
"","соответствующего пола и вида экономической деятельности)","","","","","","",""
"","Сель-","Добыча","Обраба-","Обеспе-","Водо-","Строи-","Транс-","Деятель-"
"","ское хо-","полез-","тываю-","чение","снабже-","тельство","порти-","ность в"
"","зяйство,","ных ис-","щие","электри-","ние; во-","","ровка и","области"
"","лесное","копае-","произ-","ческой","доотве-","","хранение","инфор-"
"","хозяй-","мых","водства","энерги-","дение,","","","матиза-"
"","ство,","","","ей, газом","органи-","","","ции и"
"","охота,","","","и паром;","зация","","","связи"
"","рыбо-","","","конди-","сбора и","","",""
"","ловство","","","циони-","утилиза-","","",""
"","и рыбо-","","","рование","ции от-","","",""
"","водство","","","воздуха","ходов,","","",""
"","","","","","деятель-","","",""
"","","","","","ность по","","",""
"","","","","","ликви-","","",""
"","","","","","дации","","",""
"","","","","","загряз-","","",""
"","","","","","нений","","",""
"Занятые на работах с вред-","","","","","","","",""
"ными и (или) опасными","","","","","","","",""
"условиями труда","42,7","50,8","43,9","50,2","38,2","51,6","36,3","1,3"
"мужчины","44,9","52,7","49,9","59,4","41,6","56,5","56,0","2,4"
"женщины","38,6","41,6","33,7","18,8","28,5","17,7","11,8","0,2"
"из них работающие под","","","","","","","",""
"воздействием факторов","","","","","","","",""
"производственной среды:","","","","","","","",""
"химического фактора","11,1","1,1","15,7","5,3","10,3","4,9","3,2","0,0"
"мужчины","11,8","0,6","18,6","6,2","8,8","5,5","5,4","0,0"
"женщины","9,7","3,4","10,8","2,1","14,5","0,9","0,4","-"
