"","7.3.  ДОШКОЛЬНЫЕ ОБРАЗОВАТЕЛЬНЫЕ ОРГАНИЗАЦИИ","","","",""
"","(на конец года)","","","",""
"","2014","2015","2016","2017","2018"
"Число организаций, осуществляющих образователь-","","","","",""
"ную деятельность по образовательным программам","","","","",""
"дошкольного образования, присмотр и уход за деть-","","","","",""
"ми1)","1426","1343","1264","869","661"
"из них дошкольные образовательные организации","883","817","749","437","366"
"Численность  воспитанников  в  организациях,  осу-","","","","",""
"ществляющих  образовательную  деятельность  по","","","","",""
"образовательным  программам  дошкольного  обра-","","","","",""
"зования, присмотр и уход за детьми, человек","106252","109701","112505","112685","110220"
"из них воспитанники дошкольных образователь-","","","","",""
"ных организаций","98219","101412","103273","96457","93574"
"Число  мест  воспитанников  в  организациях,  осуще-","","","","",""
"ствляющих образовательную деятельность по обра-","","","","",""
"зовательным  программам  дошкольного  образова-","","","","",""
"ния, присмотр и уход за детьми","101999","106192","110730","109240","107473"
"Обеспеченность местами детей, находящихся в ор-","","","","",""
"ганизациях, 
осуществляющих 
образовательную","","","","",""
"деятельность  по  образовательным  программам  до-","","","","",""
"школьного образования, присмотр и уход за детьми","","","","",""
"(на 100 мест приходится детей)","104","103","102","103","103"
