"","6.9. ОСНОВНЫЕ СОЦИАЛЬНЫЕ ГАРАНТИИ, УСТАНОВЛЕННЫЕ","","","",""
"","ЗАКОНОДАТЕЛЬСТВОМ РОССИЙСКОЙ ФЕДЕРАЦИИ","","","",""
"","(на 1 января; рублей)","","","",""
"","2014","2015","2016","2017","2018"
"","","","Оплата труда и пенсии (в месяц)","",""
"Минимальный размер оплаты труда","5554","5965","6204","7500","9489"
"Фиксированная выплата к страховой пен-","","","","",""
"сии1):","","","","",""
"по старости","-","4383,6","4558,9","4805,1","4982,9"
"по инвалидности:","","","","",""
"I группы","-","4383,6","4558,9","4805,1","4982,9"
"II группы","-","4383,6","4558,9","4805,1","4982,9"
"III группы","-","2191,8","2279,5","2402,6","2491,5"
"по случаю потери кормильца","-","2191,8","2279,5","2402,6","2491,5"
"","","","Пособия","",""
"Единовременное пособие женщинам,","","","","",""
"вставшим на учет в медицинских учреж-","","","","",""
"дениях в ранние сроки беременности (до","","","","",""
"12 недель)","515,3","543,7","581,72)","613,12)","628,52)"
"Родовой сертификат","11000","11000","11000","11000","11000"
"Единовременное пособие беременной жене","","","","",""
"военнослужащего, проходящего военную","","","","",""
"службу по призыву","21761,9","22958,8","24565,92)","25892,52)","26539,82)"
"Единовременное пособие при рождении ре-","","","","",""
"бенка","13742,0","14497,8","15512,72)","16350,32)","16759,12)"
"Единовременное пособие при передаче ре-","","","","",""
"бенка на воспитание в семью","13742,0","14497,8","15512,72)","16350,32)","16759,12)"
"Ежемесячное пособие на период отпуска","","","","",""
"по уходу за ребенком до достижения им","","","","",""
"возраста полутора лет","","","","",""
"по уходу за первым ребенком","2576,6","2718,3","2908,62)","3065,72)","3142,32)"
"по уходу за вторым и последующими","","","","",""
"детьми","5153,2","5436,7","5817,22)","6131,42)","6284,72)"
"Ежемесячное пособие на ребенка военно-","","","","",""
"служащего, проходящего военную службу","","","","",""
"по призыву","9326,5","9839,5","10528,22)","11096,82)","11374,22)"
"Государственный сертификат на материн-","","","","",""
"ский (семейный) капитал3)","429408,5","453026,0","453026,0","453026,0","453026,0"
"Социальное пособие на погребение","5002","5277","5277","55622)","57012)"
"","","","Стипендии (в месяц)","",""
"Размер государственных академических","","","","",""
"стипендий студентов, обучающихся по об-","","","","",""
"разовательным программам4)","","","","",""
"высшего образования","1340","1340","1340","1484","1484"
"среднего профессионального образования","487","487","487","539","539"
