"","","","","Продолжение табл. 6.20",""
"","2014","2015","2016","2017","2018"
"расходы на питание вне дома (общественное питание)","1,9","1,2","1,0","1,2","1,2"
"расходы на покупку алкогольных напитков","1,7","1,6","1,8","1,8","1,6"
"расходы на покупку непродовольственных товаров","45,7","41,9","40,9","38,6","39,9"
"в том числе на покупку:","","","","",""
"одежды, обуви, белья, тканей","8,9","9,0","9,3","9,1","7,7"
"телерадиоаппаратуры, предметов для отдыха","","","","",""
"и увлечений","2,7","2,7","2,4","3,0","2,4"
"транспортных средств","12,5","5,6","6,3","3,5","6,3"
"строительных материалов","2,3","2,8","2,2","1,7","1,7"
"топлива","5,6","6,7","7,1","7,3","7,3"
"товаров и принадлежностей по ведению хозяйства,","","","","",""
"мебели","5,5","6,3","4,5","4,2","4,2"
"предметов личной гигиены, фармацевтических","","","","",""
"и медицинских товаров и др.","5,3","6,0","6,2","6,8","6,6"
"табачных изделий","1,2","1,4","1,5","1,5","1,6"
"других непродовольственных товаров","1,7","1,4","1,4","1,5","2,1"
"расходы на оплату услуг","20,4","23,5","24,0","24,6","24,8"
"в том числе на оплату:","","","","",""
"жилищно-коммунальных услуг","7,4","8,9","10,1","10,1","9,5"
"из них:","","","","",""
"жилья","1,0","1,8","2,1","2,5","2,1"
"электроэнергии","2,3","2,6","2,9","2,6","2,5"
"газа","0,5","0,8","0,8","0,7","0,7"
"центрального отопления","1,4","1,5","1,7","1,8","1,9"
"воды и других коммунальных услуг","2,2","2,2","2,6","2,5","2,3"
"прочих бытовых услуг","2,1","2,6","1,9","2,2","2,7"
"услуг учреждений культуры","1,0","1,4","1,2","1,5","2,0"
"услуг в системе образования","1,8","0,9","1,0","1,4","1,3"
"медицинских услуг","1,0","0,6","1,0","1,1","0,7"
"санаторно-оздоровительных услуг","0,2","0,3","0,2","0,2","0,3"
"услуг пассажирского транспорта","2,3","2,5","2,3","2,1","3,0"
"услуг связи","3,4","3,4","3,3","3,2","3,1"
"прочих услуг","1,2","2,9","3,0","2,8","2,2"
