"","","","","Продолжение табл. 8.21",""
"","2014","2015","2016","2017","2018"
"Численность  больных, состоящих на учете","","","","",""
"в лечебно-профилактических учреждениях,","","","","",""
"с диагнозом","","","","",""
"алкоголизм и алкогольные психозы","","","","",""
"всего, человек","31737","29878","27743","26329","25172"
"на 100 000 человек населения","1330,8","1257,1","1172,7","1116,6","1075,1"
"наркомания","","","","",""
"всего, человек","6536","6014","5221","4632","4543"
"на 100 000 человек населения","274,1","253,0","220,7","196,4","194,0"
"токсикомания","","","","",""
"всего, человек","57","50","35","30","25"
"на 100 000 человек населения","2,4","2,1","1,5","1,3","1,1"
