"","6.35. ЖИЛИЩНЫЕ УСЛОВИЯ  в 2018 г.","","","",""
"","(по материалам выборочного обследования бюджетов домашних хозяйств;","","","",""
"","на конец года; в процентах от общего числа домохозяйств соответствующей группы)","","","",""
"","","Группы населения в зависимости от уровня доходов1)","","",""
"","первая","вторая","третья","четвертая","пятая"
"","(с наимень-","","","","(с наиболь-"
"","шими","","","","шими"
"","доходами)","","","","доходами)"
"Число обследуемых домохозяйств – всего","100","100","100","100","100"
"Распределение домашних хозяйств:","","","","",""
"по формам собственности занимаемого","","","","",""
"жилья","","","","",""
"государственное и муниципальное","-","1","-","-","-"
"частное, ЖСК","97","98","93","97","86"
"другие собственники","3","1","7","3","14"
"","по типам занимаемых жилых помещений:","","","",""
"в отдельной квартире","17","38","46","41","57"
"в коммунальной квартире","-","-","1","1","-"
"в общежитии","-","-","-","-","-"
"в отдельном доме, в части дома","83","62","53","58","43"
"в другом  жилище","-","-","-","-","-"
"по числу занимаемых жилых комнат:","","","","",""
"1 комнату","10","7","17","7","20"
"2 комнаты","24","27","28","21","14"
"3 и более комнат","66","66","55","72","66"
