"","5.4. ЧИСЛЕННОСТЬ ЗАНЯТЫХ в возрасте 15 лет и старше","","","","",""
"","ПО ПОЛУ И ГРУППАМ ЗАНЯТИЙ в 2018 г.1)","","","","",""
"","Всего,","В том числе","","","В процентах к итогу",""
"","тыс.","","","","",""
"","","муж-","жен-","всего","муж-","жен-"
"","человек","","","","",""
"","","чины","щины","","чины","щины"
"Занятые","1085,4","565,5","519,9","100","100","100"
"Руководители (представители) органов власти и","","","","","",""
"управления всех уровней, включая руководите-","","","","","",""
"лей организаций","70,7","40,4","30,3","6,5","7,2","5,8"
"Специалисты высшего уровня квалификации","228,6","72,6","156,0","21,1","12,8","30,0"
"Специалисты в области науки и техники","25,7","17,3","8,4","2,4","3,1","1,6"
"Специалисты в области здравоохранения","25,8","9,4","16,4","2,4","1,7","3,2"
"Специалисты в области образования","67,7","10,8","56,9","6,2","1,9","10,9"
"Специалисты в сфере бизнеса и администрирова-","","","","","",""
"ния","67,8","15,6","52,2","6,2","2,8","10,0"
"Специалисты по информационно-телекоммуни-","","","","","",""
"кационным технологиям (ИКТ)","12,0","9,2","2,8","1,1","1,6","0,5"
"Специалисты в области права, гуманитарных об-","","","","","",""
"ластей и культуры","29,6","10,3","19,3","2,7","1,8","3,7"
"Специалисты среднего уровня квалификации","109,2","41,7","67,5","10,1","7,4","13,0"
"Специалисты-техники в области науки и техники","25,9","20,1","5,8","2,4","3,5","1,1"
"Средний медицинский персонал в здравоохране-","","","","","",""
"нии","31,2","3,9","27,3","2,9","0,7","5,2"
"Средний специальный персонал по экономиче-","","","","","",""
"ской и административной деятельности","41,9","13,6","28,3","3,9","2,4","5,5"
"Средний специальный персонал в области право-","","","","","",""
"вой, социальной работы, культуры, обучения,","","","","","",""
"спорта и родственных занятий","8,3","2,2","6,1","0,8","0,4","1,2"
"Специалисты-техники по информационно-","","","","","",""
"телекоммуникационным технологиям (ИКТ)","1,9","1,9","-","0,2","0,3","-"
"Служащие, занятые подготовкой информации,","","","","","",""
"оформлением документации, учетом и обслужи-","","","","","",""
"ванием","36,4","7,5","28,9","3,4","1,3","5,6"
"Служащие общего профиля и обслуживающие","","","","","",""
"офисную технику","8,3","1,6","6,7","0,8","0,3","1,3"
"Служащие сферы обслуживания населения","7,7","2,7","5,0","0,7","0,5","1,0"
"Работники в сфере обработки числовой информа-","","","","","",""
"ции и учета материальных ценностей","11,3","2,7","8,6","1,0","0,5","1,6"
"Другие офисные служащие","9,1","0,5","8,6","0,8","0,1","1,7"
"Работники сферы обслуживания и торговли,","","","","","",""
"охраны граждан и собственности","176,7","49,2","127,5","16,3","8,7","24,5"
"Работники сферы индивидуальных услуг","38,0","5,3","32,7","3,5","0,9","6,3"
"Продавцы","92,0","15,4","76,6","8,5","2,7","14,7"
"Работники, оказывающие услуги по индивидуаль-","","","","","",""
"ному уходу","14,8","0,3","14,5","1,4","0,0","2,8"
"Работники служб, осуществляющих охрану граж-","","","","","",""
"дан и собственности","31,9","28,2","3,7","2,9","5,0","0,7"
"Квалифицированные работники сельского и","","","","","",""
"лесного хозяйства, рыбоводства и рыболовства","48,3","24,2","24,1","4,4","4,3","4,6"
"Квалифицированные рабочие промышленности,","","","","","",""
"строительства, транспорта и рабочие родствен-","","","","","",""
"ных занятий","142,6","123,1","19,5","13,1","21,8","3,8"
"Операторы производственных установок и","","","","","",""
"машин, сборщики и водители","141,6","131,1","10,5","13,0","23,2","2,0"
"Операторы промышленных установок и стацио-","","","","","",""
"нарного оборудования","20,0","13,6","6,4","1,8","2,4","1,2"
"Сборщики","3,6","3,2","0,4","0,3","0,6","0,1"
"","Статистический ежегодник «Алтайский край. 2014-2018»","","","","",""
"66","","","","","",""
