"","РАСХОДЫ, СБЕРЕЖЕНИЯ И ИМУЩЕСТВО НАСЕЛЕНИЯ","","","",""
"","6.15. СТРУКТУРА ИСПОЛЬЗОВАНИЯ ДЕНЕЖНЫХ ДОХОДОВ","","","",""
"","2014","2015","2016","2017","2018"
"","","","Млн рублей","",""
"Денежные расходы и сбережения –","","","","",""
"всего","524084,2","595965,2","604832,3","626402,5","641442,7"
"в том числе:","","","","",""
"покупка товаров и оплата услуг","415238,2","438077,1","447227,2","460815,6","484893,0"
"обязательные платежи и разнооб-","","","","",""
"разные взносы","61051,5","58827,8","57206,4","60313,9","68515,9"
"прочие расходы","6821,5","7370,4","8501,7","9768,0","8438,7"
"прирост сбережений населения","40973,0","91689,9","91897,0","95505,0","79595,1"
"","","","В процентах к итогу","",""
"Денежные расходы и сбережения –","","","","",""
"всего","100","100","100","100","100"
"в том числе:","","","","",""
"покупка товаров и оплата услуг","79,2","73,5","73,9","73,6","75,6"
"обязательные платежи и разнооб-","","","","",""
"разные взносы","11,7","9,9","9,5","9,6","10,7"
"прочие расходы","1,3","1,2","1,4","1,6","1,3"
"прирост сбережений населения","7,8","15,4","15,2","15,2","12,4"
