"","","4.7. НАЦИОНАЛЬНЫЙ СОСТАВ НАСЕЛЕНИЯ","","",""
"","","(по данным Всероссийской переписи населения 2010 г.)","","",""
"","Человек","","Человек","","Человек"
"Все население","2419755","Камерунцы","1","Словаки","5"
"","","Камчадалы","4","Словенцы","7"
"Лица, указавшие","","Каракалпаки","5","Табасараны","72"
"национальную","","Карачаевцы","47","Таджики","2087"
"принадлежность","2378771","Карелы","27","Талыши","36"
"","","Кеты","6","Татары","6794"
"Русские","2234324","Киприоты","1","Таты","2"
"Абазины","5","Киргизы","558","Телеуты","19"
"Абхазы","42","Кистины","10","Тофалары","1"
"Аварцы","294","Китайцы","450","Тувинцы","539"
"Австрийцы","4","Коми","63","Турки","41"
"Агулы","4","Коми-пермяки","119","Турки-месхетинцы","1"
"Адыгейцы","4","Корейцы","1214","Туркмены","123"
"Азербайджанцы","4951","Коряки","3","Удины","3"
"Албанцы","1","Крымские татары","9","Удмурты","634"
"Алтайцы","1763","Кумандинцы","1401","Узбеки","2763"
"Американцы","4","Кумыки","65","Уйгуры","152"
"Арабы","16","Курды","28","Украинцы","32226"
"Армяне","7640","Лакцы","37","Финны","42"
"Ассирийцы","8","Ланкийцы","1","Французы","5"
"Афганцы","92","Латыши","168","Хакасы","76"
