"","","","","","Продолжение табл. 4.5"
"","2015","2016","2017","2018","2019"
"10-14","60808","60730","60614","61078","62207"
"15-19","49691","49322","50197","51728","52935"
"20-24","39119","40231","43625","46429","47657"
"25-29","61270","55983","48856","41845","38018"
"30-34","73132","70955","68615","65459","60831"
"35-39","74011","73110","72435","71697","70676"
"40-44","69453","71107","72117","72133","72125"
"45-49","61403","61031","61388","63370","64876"
"50-54","87260","78644","71291","65292","60787"
"55-59","104220","103730","101788","96563","89980"
"60-64","81148","84932","87468","91557","94071"
"65-69","50270","58922","64256","66483","68749"
"70 и старше","101120","96499","95602","97158","99558"
"Из общей численности –","","","","",""
"население в возрасте:","","","","",""
"моложе трудоспособного","208060","208508","207889","206164","202492"
"трудоспособном","553367","537705","525045","511028","497453"
"старше трудоспособного","287747","295227","301272","306490","310254"
