"","5.7. РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ БЕЗРАБОТНЫХ в возрасте 15-72 лет","","","","","",""
"","","","ПО ВОЗРАСТНЫМ ГРУППАМ1)","","","",""
"","","","","(в процентах к итогу)","","",""
"Годы","Безработ-","","","","В том числе в возрасте, лет","",""
"","ные –","","","","","",""
"","","до 20","20-29","30-39","40-49","50-59","60-72"
"","всего","","","","","",""
"2014","100","2,2","34,0","24,5","14,9","22,2","2,2"
"2015","100","2,2","31,4","25,0","18,2","19,4","3,8"
"2016","100","3,2","30,7","25,4","17,1","21,1","2,5"
"2017","100","2,8","23,9","27,5","20,7","20,8","4,3"
"2018","100","3,7","25,6","27,1","21,9","19,6","2,1"
