"","","","","","Продолжение табл. 8.25"
"","2014","2015","2016","2017","2018"
"На 1000 родов число заболеваний, ос-","","","","",""
"ложнивших роды:","","","","",""
"анемией","251,5","162,9","172,8","193,1","207,7"
"болезнями системы кровообращения","177,8","75,0","79,6","73,4","84,6"
"сахарным диабетом","11,1","25,5","19,1","33,4","89,2"
"болезнями мочеполовой системы","53,1","33,8","33,3","32,0","39,6"
"отеками, протеинурией и гипертензив-","","","","",""
"ными расстройствами","146,2","…","…","…","…"
"венозными осложнениями","7,7","4,4","4,2","9,6","16,2"
"кровотечениями в последовом и после-","","","","",""
"родовом периоде","8,8","9,6","12,7","11,7","11,8"
"нарушения родовой деятельности","121,4","122,1","120,8","104,3","99,9"
