"на 10 000 женщин в возрасте 15-49 лет.","","","","",""
"","8.3. ЧИСЛЕННОСТЬ МЕДИЦИНСКИХ КАДРОВ","","","",""
"","(на конец года)","","","",""
"","2014","2015","2016","2017","2018"
"Численность врачей всех специальностей, человек","","","","",""
"всего","10705","10201","10198","10173","9957"
"на 10 000 человек населения","44,9","42,9","43,1","43,3","42,7"
"Численность среднего медицинского персонала, че-","","","","",""
"ловек","","","","",""
"всего","26305","26784","26390","25780","24561"
"на 10 000 человек населения","110,3","112,7","111,6","109,7","105,3"
