"","","5.2. УРОВЕНЬ УЧАСТИЯ В РАБОЧЕЙ СИЛЕ,","",""
"","","УРОВЕНЬ ЗАНЯТОСТИ И УРОВЕНЬ БЕЗРАБОТИЦЫ 1)","",""
"","","(в процентах)","",""
"","Уровень участия","Уровень","Уровень","Уровень"
"","в рабочей силе","занятости","безработицы","зарегистрированной"
"","(численность населения,","(занятое население","(безработные","безработицы"
"","входящая в состав рабочей","к численности","к численности","(зарегистрированные"
"","силы,  к численности","населения","рабочей силы","безработные"
"","населения соответствую-","соответствующей","соответствующей","к численности"
"","щей возрастной группы)2)","возрастной группы)2)","возрастной группы)2)","рабочей силы)"
"Всего","","","",""
"2014","63,6","59,0","7,2","1,8"
"2015","65,8","60,5","8,0","1,9"
"2016","65,1","59,5","8,6","1,7"
"2017","63,8","59,4","6,9","1,7"
"2018","65,3","61,4","6,1","1,5"
"Мужчины","","","",""
"2014","70,3","65,0","7,6","1,9"
"2015","73,1","66,6","8,8","2,0"
"2016","72,9","66,9","8,3","1,9"
"2017","71,4","66,4","6,9","1,8"
"2018","72,6","68,3","6,0","1,7"
