"","8.21. ЗАБОЛЕВАЕМОСТЬ ПСИХИЧЕСКИМИ РАССТРОЙСТВАМИ И","","","",""
"","РАССТРОЙСТВАМИ ПОВЕДЕНИЯ, СВЯЗАННЫМИ","","","",""
"","С УПОТРЕБЛЕНИЕМ ПСИХОАКТИВНЫХ ВЕЩЕСТВ1)","","","",""
"","2014","2015","2016","2017","2018"
"Выявлено больных с впервые в жизни установ-","","","","",""
"ленным диагнозом, человек:","","","","",""
"алкоголизм и алкогольные психозы","","","","",""
"всего, человек","2669","2760","2378","2025","2071"
"на 100 000 человек населения","111,8","115,9","100,3","85,9","88,4"
"наркомания","","","","",""
"всего, человек","516","494","414","410","408"
"на 100 000 человек населения","21,6","20,7","17,5","17,4","17,4"
"токсикомания","","","","",""
"всего, человек","5","5","5","8","5"
"на 100 000 человек населения","0,2","0,2","0,2","0,3","0,2"
