"","","","","","Продолжение табл. 8.11"
"","2014","2015","2016","2017","2018"
"болезни органов дыхания","376,2","390,1","420,1","423,2","445,3"
"болезни органов пищеварения","91,2","95,5","96,6","72,3","71,3"
"болезни мочеполовой системы","146,7","142,4","142,4","133,7","138,9"
"осложнения беременности, родов и послеро-","","","","",""
"дового периода","154,4","147,1","146,2","127,4","122,1"
"болезни кожи и подкожной клетчатки","64,6","64,5","62,6","61,2","60,8"
"болезни костно-мышечной системы и соеди-","","","","",""
"нительной ткани","72,3","69,3","66,9","63,8","66,4"
"врожденные аномалии (пороки развития)","1,9","2,0","2,1","2,2","2,0"
"травмы и отравления и некоторые другие по-","","","","",""
"следствия воздействия внешних причин","97,0","103,3","94,3","92,4","94,8"
