"","","5.18. ТРАВМАТИЗМ НА ПРОИЗВОДСТВЕ","","","","",""
"","","","(человек)","","","",""
"","","","2014","2015","2016 
2017","","2018"
"","Число пострадавших при несчастных слу-","","","","","",""
"","чаях на производстве с утратой трудоспо-","","","","","",""
"","собности на 1 рабочий день и более и со","","","","","",""
"смертельным исходом","","","","","","",""
"всего","","","517","431","417 
391","","370"
"на 1000 работающих","","","2,3","1,9","1,9 
1,8","","1,7"
"","Число пострадавших при несчастных слу-","","","","","",""
"","чаях на производстве со смертельным   ис-","","","","","",""
"ходом","","","","","","",""
"всего","","","26","16","16 
10","","20"
"на 1000 работающих","","","0,116","0,071","0,072 
0,045","","0,094"
"","Израсходовано на мероприятия по охране","","","","","",""
"труда, млн рублей","","","2156,8","2285,7","2370,2 
2673,7","","2389,9"
"","5.19. ЧИСЛЕННОСТЬ ПОСТРАДАВШИХ НА ПРОИЗВОДСТВЕ","","","","","",""
"","ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ в 2018 г.","","","","","",""
"","Всего","","Из них по видам экономической деятельности","","","",""
"","","сельское","добыча","обраба-","обеспе-
водо-","строи-","транс-"
"","","хозяйст-","полез-","тываю-","чение 
снабже-","тельство","порти-"
"","","во, лес-","ных ис-","щие","электри-
ние; во-","","ровка и"
"","","ное хо-","копае-","произ-","ческой 
доотве-","","хране-"
"","","зяйство,","мых","водства","энерги-
дение,","","ние"
"","","охота,","","","ей, газом 
органи-","",""
"","","рыбо-","","","и паром; 
зация","",""
"","","ловство","","","конди-
сбора и","",""
"","","и рыбо-","","","циони-
утилиза-","",""
"","","водство","","","рование 
ции от-","",""
"","","","","","воздуха 
ходов,","",""
"","","","","","деятель-","",""
"","","","","","ность по","",""
"","","","","","ликви-","",""
"","","","","","дации","",""
"","","","","","загряз-","",""
"","","","","","нений","",""
"","","","","Человек","","",""
"Пострадавшие на про-","","","","","","",""
"изводстве – всего","370","108","5","136","11 
3","8","55"
"в том числе со смер-","","","","","","",""
"тельным исходом","20","6","1","2","3 
-","1","5"
"","","","","На 1000 работающих","","",""
"Пострадавшие на про-","","","","","","",""
"изводстве – всего","1,7","2,9","1,6","2,2","0,6 
-","1,6","2,1"
"в том числе со смер-","","","","","","",""
"тельным исходом","0,094","0,162","0,327","0,032","0,172 
-","0,196","0,187"
