"","8.18. ЗАБОЛЕВАЕМОСТЬ БОЛЕЗНЯМИ, ПЕРЕДАВАЕМЫМИ","","","",""
"","ПРЕИМУЩЕСТВЕННО ПОЛОВЫМ ПУТЕМ","","","",""
"","2014","2015","2016","2017","2018"
"Выявлено больных с диагнозом, установ-","","","","",""
"ленным впервые в жизни:","","","","",""
"сифилис","","","","",""
"всего, человек","582","476","437","381","368"
"на 100 000 человек населения","24,4","20,0","18,4","16,2","15,7"
"гонорея (острая и хроническая)","","","","",""
"всего, человек","455","355","291","291","255"
"на 100 000 человек населения","19,1","14,9","12,3","12,3","10,9"
"Численность больных сифилисом, состоя-","","","","",""
"щих на учете в лечебно-профилактических","","","","",""
"учреждениях  (на конец года):","","","","",""
"всего,  человек","3119","2801","2800","2772","2692"
"на 100 000 человек населения","130,8","117,8","118,4","117,6","115,0"
