"5.3. СРЕДНЕГОДОВАЯ ЧИСЛЕННОСТЬ ЗАНЯТЫХ В ЭКОНОМИКЕ",""
"ПО ОСНОВНОМУ ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ",""
"(тысяч человек)",""
"","2018"
"Всего","1023,4"
"в том числе по видам экономической деятельности:",""
"сельское, лесное хозяйство, охота, рыболовство и рыбоводство","129,9"
"добыча полезных ископаемых","4,2"
"обрабатывающие производства","135,0"
"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","27,3"
"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятель-",""
"ность по ликвидации загрязнений","9,6"
"строительство","63,5"
"торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов","204,1"
"транспортировка и хранение","66,7"
"деятельность гостиниц и предприятий общественного питания","14,5"
"деятельность в области информации и связи","19,6"
"деятельность финансовая и страховая","15,1"
"деятельность по операциям с недвижимым имуществом","22,8"
"деятельность профессиональная, научная и техническая","19,5"
"деятельность административная и сопутствующие дополнительные услуги","16,9"
"государственное управление и обеспечение военной безопасности; социальное",""
"обеспечение","68,6"
"образование","94,3"
"деятельность в области здравоохранения и социальных услуг","77,0"
"деятельность в области культуры, спорта, организации досуга и развлечений","11,9"
"предоставление прочих видов услуг","22,2"
"деятельность домашних хозяйств","0,7"
