"","","","","","Продолжение табл. 4.7"
"","Человек","","Человек","","Человек"
"Балкарцы","11","Лезгины","212","Ханты","21"
"Башкиры","559","Литовцы","382","Хорваты","1"
"Белорусы","4591","Манси","4","Цахуры","4"
"Болгары","260","Марийцы","515","Цыгане","3052"
"Британцы","7","Метисы","71","Черкесы","16"
"Булгары","3","Молдаване","1211","Чехи","19"
"Буряты","165","Монголы","19","Чеченцы","532"
"Венгры","28","Мордва","2976","Чуванцы","1"
"Вепсы","2","Мулаты","1","Чуваши","2322"
"Вьетнамцы","91","Нанайцы","4","Чукчи","10"
"Гагаузы","47","Немцы","50701","Шведы","1"
"Голландцы","7","Ненцы","5","Швейцарцы","2"
"Греки","192","Нивхи","4","Шорцы","118"
"Грузины","776","Нигерийцы","1","Эвенки","28"
"Дагестанцы","36","Новозеландцы","1","Эвены","3"
"Даргинцы","110","Ногайцы","12","Эскимосы","5"
"Долганы","4","Орочи","1","Эстонцы","240"
"Дунгане","207","Осетины","314","Эфиопы","1"
"Евреи","721","Пакистанцы","3","Якуты (саха)","126"
"Езиды","27","Памирцы","4","Другие",""
"Ингуши","143","Персы","16","национальности",""
"Индийцы","9","Поляки","580","(не перечисленные",""
"Ирландцы","2","Россияне","16","выше)","82"
"Итальянцы","5","Румыны","25","",""
"Ительмены","2","Русины","4","Лица, не указавшие","40984"
"Кабардинцы","59","Рутульцы","19","национальную",""
"Казахи","7979","Саамы","1","принадлежность",""
"Калмыки","42","Сербы","3","",""
