"","","","6. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ","","","","",""
"Численность  населения  с  денежными  доходами  ниже  величины  прожиточного  минимума","","","","","","","",""
"","определяется на основе данных о распределении населения по величине среднедушевых де-","","","","","","",""
"","нежных доходов и является результатом их соизмерения с величиной прожиточного мини-","","","","","","",""
"мума.","","","","","","","",""
"Дефицит денежного дохода определяется как сумма денежных средств, необходимая для доведе-","","","","","","","",""
"","ния доходов населения с денежными доходами ниже прожиточного минимума до величины","","","","","","",""
"","прожиточного минимума.","","","","","","",""
"Распределение населения по величине среднедушевых денежных доходов характеризует диф-","","","","","","","",""
"","ференциацию населения по уровню материального достатка и представляет собой показате-","","","","","","",""
"","ли численности (или долей) постоянного населения, сгруппированные в заданных интерва-","","","","","","",""
"","лах по уровню среднедушевых денежных доходов.","","","","","","",""
"Распределение общего объема денежных доходов по различным группам населения выража-","","","","","","","",""
"","ется  через  долю  общего  объема  денежных  доходов,  которая  приходится  на  каждую  из  20-","","","","","","",""
"","процентных групп населения, ранжированного по мере возрастания среднедушевых денеж-","","","","","","",""
"ных доходов.","","","","","","","",""
"Коэффициент  фондов  (коэффициент  дифференциации  доходов)  характеризует  степень  социаль-","","","","","","","",""
"","ного расслоения и определяется как соотношение между средними уровнями денежных до-","","","","","","",""
"","ходов  10  процентов  населения  с  самыми  высокими  доходами  и  10  процентов  населения  с","","","","","","",""
"","самыми низкими доходами.","","","","","","",""
"Коэффициент  Джини  (индекс  концентрации  доходов)  характеризует  степень  отклонения  линии","","","","","","","",""
"","фактического распределения общего объема денежных доходов населения от линии их рав-","","","","","","",""
"","номерного распределения. Величина коэффициента может варьировать от 0 до 1, при этом","","","","","","",""
"","чем выше значение показателя, тем более неравномерно распределены доходы в обществе.","","","","","","",""
"Величина","прожиточного","минимума","в","соответствии","с","Федеральным","законом","от"
"","24 октября  1997 г. № 134-ФЗ «О прожиточном минимуме в Российской Федерации» пред-","","","","","","",""
"","ставляет  собой  стоимостную  оценку  потребительской  корзины,  а  также  обязательные  пла-","","","","","","",""
"","тежи и сборы.","","","","","","",""
"Потребительская  корзина  включает  минимальные  наборы  продуктов  питания,  а  также  непродо-","","","","","","","",""
"","вольственные товары и услуги, стоимость которых определяется в соотношении со стоимо-","","","","","","",""
"","стью минимального набора продуктов питания, необходимого для сохранения здоровья че-","","","","","","",""
"","ловека и обеспечения его жизнедеятельности, и устанавливается Федеральным законом – в","","","","","","",""
"","целом по Российской Федерации, законодательными (представительными) органами субъек-","","","","","","",""
"","тов Российской Федерации – в субъектах Российской Федерации.","","","","","","",""
"Стоимостная  оценка  потребительской  корзины  производится  на  основании  данных  Росстата  об","","","","","","","",""
"","уровне потребительских цен на продукты питания и индексах потребительских цен на про-","","","","","","",""
"","дукты питания, непродовольственные товары и услуги. Величина прожиточного минимума","","","","","","",""
"","в целом по Российской Федерации устанавливается Правительством Российской Федерации,","","","","","","",""
"","по Алтайскому краю – Правительством Алтайского края.","","","","","","",""
"Денежные расходы  и сбережения населения  включают расходы на покупку товаров и оплату","","","","","","","",""
"","услуг, обязательные платежи и разнообразные взносы (налоги и сборы, платежи по страхо-","","","","","","",""
"","ванию, взносы в общественные и кооперативные организации, проценты за кредиты и др.),","","","","","","",""
"","приобретение недвижимости, прирост финансовых активов.","","","","","","",""
"Прирост  финансовых  активов  состоит  из  прироста  (уменьшения)  вкладов  на  счетах  граждан,","","","","","","","",""
"","денег на руках у населения, расходов на приобретение ценных бумаг, иностранной валюты,","","","","","","",""
"","покупку населением скота и птицы, изменения средств на счетах индивидуальных предпри-","","","","","","",""
"","нимателей, за минусом изменения задолженности по кредитам.","","","","","","",""
"Среднемесячная номинальная заработная плата – это заработная плата, начисленная в среднем","","","","","","","",""
"","на одного работника в месяц; исчисляется на основании сведений, полученных от организа-","","","","","","",""
"","ций, исходя из фонда начисленной заработной платы работников, деленного на среднеспи-","","","","","","",""
"","сочную  численность  работников  и  на  количество  месяцев  в  периоде.  В  состав  фонда  зара-","","","","","","",""
"","ботной  платы  включаются  начисленные  суммы  оплаты  труда  в  денежной  и  натуральных","","","","","","",""
"","формах  за  отработанное  и  неотработанное  время,  стимулирующие  доплаты  и  надбавки,","","","","","","",""
