"","","","4.2. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ","","",""
"","","","(на 1 января)","","",""
"Годы","Все","В  том числе","","","В общей численности населения,",""
"","население,","","","","процентов",""
"","тыс. человек","","","","",""
"","","городское","сельское","городское","","сельское"
"2015","2384,8","1335,6","1049,2","56,0","","44,0"
"2016","2376,8","1335,3","1041,5","56,2","","43,8"
"2017","2365,7","1331,5","1034,2","56,3","","43,7"
"2018","2350,1","1326,4","1023,7","56,4","","43,6"
"2019","2332,8","1322,6","1010,2","56,7","","43,3"
