"","","","","","Продолжение табл. 8.26"
"","2014","2015","2016","2017","2018"
"травмы, отравления и некоторые другие","","","","",""
"последствия воздействий внешних при-","","","","",""
"чин","30762","34142","33310","31379","32413"
"","","На 1000 детей соответствующего возраста","","",""
"Все болезни","1741,4","1792,6","1879,0","1863,4","1899,8"
"в том числе:","","","","",""
"некоторые инфекционные и паразитар-","","","","",""
"ные болезни","65,5","62,5","60,7","61,6","61,1"
"новообразования","4,1","4,4","4,3","4,4","4,6"
"болезни крови и кроветворных органов","","","","",""
"и отдельные нарушения, вовлекающие","","","","",""
"иммунный механизм","18,7","16,7","16,4","15,0","12,7"
"болезни эндокринной системы, рас-","","","","",""
"стройства питания,  нарушения обмена","","","","",""
"веществ  и иммунитета","13,7","12,6","12,8","13,0","12,4"
"психические расстройства","20,0","19,3","16,1","17,8","17,0"
"болезни нервной системы","44,9","46,5","47,8","48,6","51,7"
"болезни глаза и его придаточного аппа-","","","","",""
"рата","56,6","56,9","54,6","56,2","54,2"
"болезни уха и сосцевидного отростка","47,9","46,5","45,1","43,1","41,2"
"болезни системы кровообращения","7,0","6,8","5,0","4,9","4,5"
"болезни органов дыхания","1131,9","1171,8","1287,9","1302,7","1344,2"
"болезни органов пищеварения","72,4","86,1","80,2","61,4","68,4"
"болезни кожи и подкожной клетчатки","86,6","85,4","82,9","81,4","75,7"
"болезни костно-мышечной системы и","","","","",""
"соединительной ткани","32,3","32,2","29,0","27,4","26,8"
"болезни мочеполовой системы","32,0","33,9","32,4","31,5","30,0"
"врожденные аномалии (пороки разви-","","","","",""
"тия), деформации и хромосомные на-","","","","",""
"рушения","8,5","9,3","9,4","10,3","9,2"
"травмы, отравления и некоторые дру-","","","","",""
"гие последствия воздействий внешних","","","","",""
"причин","75,1","81,9","78,9","74,0","76,8"
