"","","7.11. ВЫСШИЕ ПРОФЕССИОНАЛЬНЫЕ ОРГАНИЗАЦИИ","","","","",""
"","","","(на начало учебного года)","","","",""
"Годы","Число","В них","","В том числе обучавшихся на отделениях","","","На 10000"
"","организаций1)","студентов –","","","","","человек"
"","","","очных","очно-","заочных","экстернат",""
"","","всего,","","","","","населения"
"","","","","заочных","","",""
"","","человек","","","","","приходилось"
"","","","","(вечерних)","","",""
"","","","","","","","студентов"
"","","","","Всего","","",""
"2014/15","10/18","69252","32350","1218","35684","-","290,4"
"2015/16","10/16","60711","30232","843","29636","-","255,4"
"2016/17","10/13","52127","29679","573","21875","-","220,3"
"2017/18","7/10","51129","30500","516","20113","","217,6"
"2018/19","7/10","50297","29998","721","19578","-","215,6"
"","","","Государственные и муниципальные","","","",""
"","","","высшие профессиональные организации","","","",""
"2014/15","7/11","57217","30205","1156","25856","-","239,9"
"2015/16","7/11","51798","28547","833","22418","-","217,9"
