"","","","","","","","Продолжение табл. 7.11"
"Годы","Число","В них","","В том числе обучавшихся на отделениях","","","На 10000"
"","организаций1)","студентов –","","","","","человек"
"","","","очных","очно-","заочных","экстернат",""
"","","всего,","","","","","населения"
"","","","","заочных","","",""
"","","человек","","","","","приходилось"
"","","","","(вечерних)","","",""
"","","","","","","","студентов"
"2016/17","7/9","49347","29325","573","19449","-","208,6"
"2017/18","7/8","49845","30331","496","19018","-","212,1"
"2018/19","7/8","49250","29838","610","18802","-","211,1"
"","","Негосударственные высшие профессиональные организации","","","","",""
"2014/15","3/7","12035","2145","62","9828","-","50,5"
"2015/16","3/5","8913","1685","10","7218","-","37,5"
"2016/17","3/4","2780","354","-","2426","-","11,8"
"2017/18","-/2","1284","169","20","1095","-","5,5"
"2018/19","-/2","1047","160","111","776","-","4,5"
"1) Через дробь – кроме того филиалы.","","","","","","",""
