"","","Продолжение табл. 6.19"
"","Расходы","В процентах от общего объема расходов на конечное потребление"
"","на ко-",""
"","расхо-","в том числе 
расхо-
расхо-
расхо-
стои-"
"","нечное",""
"","ды на","ды на 
ды на 
ды на  
мость"
"","","денеж-
стои-
из нее"
"","потреб-",""
"","пита-","непро-
алко-
оплату 
предо-"
"","","ные 
мость"
"","","поступ-
полу-"
"","ление (в",""
"","","ние 
доволь
голь-
услуг 
став-"
"","","расхо-
нату-"
"","","лений 
ченных"
"","среднем",""
"","","ствен-
ные 
лен-"
"","","ды 
раль-"
"","","из лич-
подар-"
"","на одно-",""
"","","ные 
напит-
ных"
"","","на по-
ных"
"","","ного 
ков и"
"","го члена",""
"","","товары 
ки 
рабо-"
"","","купку 
поступ-"
"","","под-
других"
"","домаш-",""
"","","тода-"
"","","про-
лений"
"","","соб-
посту-"
"","него",""
"","","телем"
"","","дуктов 
 про-"
"","","ного  
плений"
"","хозяй-",""
"","","в нату-"
"","","пита-
дуктов"
"","","хозяй-"
"","ства в",""
"","","раль-"
"","","ния 
пита-"
"","","ства"
"","месяц),",""
"","","ном"
"","","ния"
"","рублей",""
"","","выра-"
"","","жении"
"","","льгот"
"Домашние хозяйства,","",""
"не имеющие детей в","",""
"возрасте до 16 лет","15737","39,4 
33,2 
   6,2 
    5,2 
    1,0 
35,6 
1,6 
23,2 
0,2"
"Домашние хозяйства","",""
"по 20-процентным","",""
"(квинтельным) группам","",""
"населения:","",""
"первая (с наименьши-","",""
"ми доходами)1)","5542","51,7 
37,6 
 14,1 
  12,2 
   1,9 
 28,8 
0,9 
18,6 
0,0"
"вторая","8697","47,7 
38,2 
   9,5 
     8,2 
    1,3 
  28,1 
1,4 
22,8 
0,0"
"третья","12009","43,1 
35,6 
   7,5 
     6,4 
    1,1 
  33,5 
1,8 
21,6 
0,0"
"четвертая","15879","36,2 
30,9 
   5,3 
     4,6 
    0,7 
  37,1 
1,6 
25,0 
0,1"
"пятая (с наибольшими","",""
"доходами)1)","25125","29,2 
25,7 
    3,5 
     2,4 
    1,1 
44,4            
  1,5 
24,6 
0,3"
"1) В обследовании бюджетов домашних хозяйств доходы представляют собой сумму денежных средств и натуральных","",""
"поступлений, которые находились в распоряжении домашнего хозяйства в течение учетного периода обследования для","",""
"обеспечения всех расходов (как потребительских, так и не связанных с потреблением) и создания сбережений.","",""
"","6.20. СТРУКТУРА ПОТРЕБИТЕЛЬСКИХ РАСХОДОВ ДОМАШНИХ ХОЗЯЙСТВ",""
"","(по материалам выборочного обследования бюджетов домашних хозяйств; в процентах к итогу)",""
"","","2014 
2015 
2016 
2017 
2018"
"Потребительские расходы – всего","","100 
100 
100 
100 
100"
"в том числе:","",""
"","расходы на покупку продуктов для домашнего пита-",""
"ния","","30,3 
31,8 
32,3 
33,8 
32,5"
"из них на покупку:","",""
"хлеба и хлебных продуктов","","5,1 
5,5 
5,4 
5,7 
5,2"
"картофеля","","0,1 
0,1 
0,1 
0,1 
0,1"
"овощей и бахчевых","","1,4 
1,4 
1,4 
1,4 
1,4"
"фруктов и ягод","","2,0 
2,2 
2,2 
2,4 
2,3"
"мяса и мясных продуктов","","9,7 
9,3 
8,9 
10,1 
9,5"
"рыбы и рыбных продуктов","","1,8 
1,9 
2,2 
1,9 
1,9"
"молока и молочных продуктов","","4,5 
4,9 
4,9 
5,3 
5,2"
"сахара и кондитерских изделий","","2,4 
2,7 
3,0 
2,6 
2,8"
"яиц","","0,4 
0,5 
0,6 
0,5 
0,5"
"","масла растительного и других жиров","0,5 
0,7 
0,8 
0,7 
0,5"
"","чая, кофе, безалкогольных напитков и др.","2,4 
2,6 
2,8 
3,1 
3,1"
