"","6.10. РАЗМЕРЫ ОСНОВНЫХ СОЦИАЛЬНЫХ ГАРАНТИЙ, УСТАНОВЛЕННЫХ","","","","",""
"","ЗАКОНОДАТЕЛЬСТВОМ РОССИЙСКОЙ ФЕДЕРАЦИИ, В СООТНОШЕНИИ","","","","",""
"","","","","1)","",""
"","С ВЕЛИЧИНОЙ ПРОЖИТОЧНОГО МИНИМУМА","","","","",""
"","(на 1 января; в процентах)","","","","",""
"","2014","2015","2016","","2017","2018"
"Минимальный размер оплаты труда","73,6","63,5","65,0","","78,6","99,1"
"Фиксированная выплата к страховой пен-","","","","","",""
"сии","","","","","",""
"по старости","-","61,3","62,8","","66,0","66,1"
"по инвалидности","","","","","",""
"I группы","-","61,3","62,8","","66,0","66,1"
"II группы","-","61,3","62,8","","66,0","66,1"
"III группы","-","30,7","31,4","","33,0","33,0"
"по случаю потери кормильца","-","30,7","31,4","","33,0","33,0"
"Ежемесячное пособие на период отпуска по","","","","","",""
"уходу за ребенком до достижения им воз-","","","","","",""
"раста полутора лет","","","","","",""
"по уходу за первым ребенком","35,7","30,9","32,4","","32,9","33,3"
"по уходу за вторым и последующими","","","","","",""
"детьми","71,4","61,9","64,9","","65,7","66,5"
"Размер государственных академических","","","","","",""
"стипендий студентов, обучающихся по об-","","","","","",""
"разовательным программам","","","","","",""
"высшего образования","17,8","14,3","14,0","","15,6","15,5"
"среднего профессионального образования","6,5","5,2","5,1","","5,6","5,6"
