"","","","","","Продолжение табл. 5.4",""
"","Всего,","В том числе","","","В процентах к итогу",""
"","тыс.","","","","",""
"","","муж-","жен-","всего","муж-","жен-"
"","человек","","","","",""
"","","чины","щины","","чины","щины"
"Водители и операторы подвижного оборудования","118,0","114,3","3,7","10,9","20,2","0,7"
"Неквалифицированные рабочие","131,3","75,7","55,6","12,1","13,4","10,7"
"Прислуга и уборщики","28,3","0,9","27,4","2,6","0,2","5,3"
"Неквалифицированные рабочие сельского и лес-","","","","","",""
"ного хозяйства, рыбоводства и рыболовства","13,1","9,9","3,2","1,2","1,8","0,6"
"Неквалифицированные рабочие, занятые в гор-","","","","","",""
"нодобывающей промышленности, строительстве,","","","","","",""
"обрабатывающей промышленности и на транс-","","","","","",""
"порте","30,5","22,6","7,9","2,8","4,0","1,5"
"Помощники в приготовлении пищи","3,0","0,3","2,7","0,3","0,1","0,5"
"Уличные торговцы и другие неквалифицирован-","","","","","",""
"ные работники, оказывающие различные улич-","","","","","",""
"ные услуги","1,0","0,7","0,3","0,1","0,1","0,1"
"Неквалифицированные работники по сбору му-","","","","","",""
"сора и другие неквалифицированные работники","55,4","41,3","14,1","5,1","7,3","2,7"
