"","","","","","","","Продолжение табл. 5.16",""
"","Сель-","Добыча","Обраба-","Обеспе-","Водо-","Строи-","Транс-","Деятель-"
"","ское хо-","полез-","тываю-","чение","снабже-","тельство","порти-","ность в"
"","зяйство,","ных ис-","щие","электри-","ние; во-","","ровка и","области"
"","лесное","копае-","произ-","ческой","доотве-","","хранение","инфор-"
"","хозяй-","мых","водства","энерги-","дение,","","","матиза-"
"","ство,","","","ей, газом","органи-","","","ции и"
"","охота,","","","и паром;","зация","","","связи"
"","рыбо-","","","конди-","сбора и","","",""
"","ловство","","","циони-","утилиза-","","",""
"","и рыбо-","","","рование","ции от-","","",""
"","водство","","","воздуха","ходов,","","",""
"","","","","","деятель-","","",""
"","","","","","ность по","","",""
"","","","","","ликви-","","",""
"","","","","","дации","","",""
"","","","","","загряз-","","",""
"","","","","","нений","","",""
"биологического фактора","1,7","-","1,3","0,0","0,8","-","0,2","-"
"мужчины","1,5","-","1,4","-","-","-","0,0","-"
"женщины","2,1","-","1,1","0,1","3,0","-","0,3","-"
"аэрозолей преимущест-","","","","","","","",""
"венно фиброгенного дей-","","","","","","","",""
"ствия","3,4","1,8","7,6","6,6","1,4","5,5","0,7","0,2"
"мужчины","4,0","2,1","10,2","7,6","1,8","6,2","1,2","0,3"
"женщины","2,1","0,5","3,1","3,1","-","0,6","0,1","-"
"шума, ультразвука, ин-","","","","","","","",""
"фразвука","14,1","22,6","25,6","15,2","17,1","18,4","8,0","-"
"мужчины","17,9","25,2","18,2","18,0","19,1","20,2","13,0","-"
"женщины","7,0","10,3","29,9","5,6","11,5","5,6","1,8","-"
"вибрации (общей и ло-","","","","","","","",""
"кальной)","7,4","8,4","7,3","3,0","0,5","9,7","7,3","0,0"
"мужчины","11,3","9,9","10,0","3,7","0,7","10,6","8,4","0,0"
"женщины","0,1","0,9","2,7","0,7","-","3,2","5,9","-"
"неионизирующего излу-","","","","","","","",""
"чения","0,9","1,6","3,1","1,2","3,0","3,5","0,7","-"
"мужчины","1,3","1,8","4,6","1,6","4,1","4,0","1,2","-"
"женщины","0,1","0,7","0,5","0,0","-","-","0,0","-"
"ионизирующего излуче-","","","","","","","",""
"ния","0,2","0,3","0,1","0,1","-","0,2","0,1","-"
"мужчины","0,2","0,4","0,1","0,2","-","0,2","0,1","-"
"женщины","0,2","-","0,0","-","-","-","-","-"
"световой среды","5,6","3,2","4,2","1,7","0,2","0,6","1,0","-"
"мужчины","5,0","3,9","5,4","2,0","0,2","0,6","1,7","-"
"женщины","6,6","-","2,1","0,8","-","1,1","0,2","-"
"из них работающие под","","","","","","","",""
"воздействие факторов тру-","","","","","","","",""
"дового процесса:","","","","","","","",""
"тяжести","21,9","27,5","16,1","1,9","13,3","16,7","17,9","0,9"
"мужчины","20,7","33,0","20,2","1,8","15,9","18,5","25,7","1,6"
"женщины","24,3","0,5","9,1","2,2","6,1","4,1","8,1","-"
"напряженности","5,9","9,2","2,4","1,8","0,0","12,0","13,9","-"
"мужчины","7,5","5,3","2,3","2,2","-","13,4","22,2","-"
"женщины","2,9","10,0","2,5","0,3","0,1","2,2","3,4","-"
