"","6.22. СТРУКТУРА ПОТРЕБИТЕЛЬСКИХ РАСХОДОВ ДОМАШНИХ ХОЗЯЙСТВ","","","",""
"","ПО ГРУППАМ НАСЕЛЕНИЯ С РАЗЛИЧНЫМ УРОВНЕМ ДОХОДОВ в 2018 г.","","","",""
"","(по материалам выборочного обследования бюджетов домашних хозяйств; в процентах к итогу)","","","",""
"","","Группы населения в зависимости от уровня доходов1)","","",""
"","первая","вторая","третья","четвертая","пятая"
"","(с наи-","","","","(с наи-"
"","меньшими","","","","большими"
"","доходами)","","","","доходами)"
"Потребительские расходы – всего","100","100","100","100","100"
"в том числе:","","","","",""
"продукты питания","43,0","41,4","37,9","31,9","25,6"
"алкогольные напитки, табачные изделия","4,3","3,6","4,0","2,8","2,7"
"одежда и обувь","8,0","7,0","7,8","8,7","7,4"
"жилищно-коммунальные услуги, топливо","15,5","15,0","15,3","12,5","11,9"
"предметы домашнего обихода, бытовая","","","","",""
"техника, уход за домом","3,3","4,3","5,1","7,2","5,4"
"здравоохранение","3,0","4,0","4,3","4,3","5,0"
"транспорт","7,8","8,9","10,0","13,6","23,1"
"связь","5,4","4,6","4,1","3,5","2,9"
"организация отдыха и культурных","","","","",""
"мероприятий","2,5","3,3","4,1","6,1","6,0"
"образование","0,4","0,6","0,4","0,8","0,3"
"гостиницы, кафе и рестораны","1,1","1,2","1,0","1,6","1,4"
"другие товары и услуги","5,7","6,1","6,0","7,0","8,3"
