"","ОБЩЕЕ ОБРАЗОВАНИЕ","","","",""
"","7.5. ЧИСЛО ОБЩЕОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ","","","",""
"","(на начало учебного года)","","","",""
"","2014/15","2015/16","2016/17","2017/18","2018/2019"
"Число общеобразовательных организа-","","","","",""
"ций1) – всего","1093/92","1045/105","998/134","831/284","696/403"
"государственные и муниципальные об-","","","","",""
"щеобразовательные организации2)","1086/92","1038/105","991/134","824/284","689/403"
"в городской местности","212","204","204","201","202"
"в сельской местности","874/92","834/105","787/134","623/284","487/403"
"негосударственные общеобразовательные","","","","",""
"организации","7","7","7","7","7"
"в городской местности","7","7","7","7","7"
"в сельской местности","-","-","-","-","-"
"Численность обучающихся в общеобра-","","","","",""
"зовательных организациях – всего, чело-","","","","",""
"век","245597","251909","259780","266133","270446"
"государственные и муниципальные об-","","","","",""
"щеобразовательные организации","245057","251348","259214","265580","269885"
"в городской местности","131504","136279","141622","146985","151685"
"в сельской местности","113553","115069","117592","118595","118761"
"негосударственные общеобразовательные","","","","",""
"организации","540","561","566","553","561"
"в городской местности","540","561","566","553","561"
"в сельской местности","-","-","-","-","-"
