"","","","","Продолжение табл. 23.19",""
"","Просроченная","","Из нее","",""
"","дебиторская","","","",""
"","","покупателей","","из нее",""
"","задолженность","","","",""
"","","и заказчи-","","",""
"","","","получен-","","по государствен-"
"","","ков за това-","","",""
"","","","ными","","ным заказам и"
"","","ры, работы","","",""
"","","","векселями","","федеральным"
"","","и услуги","","",""
"","","","","","программам за"
"","","","","","поставленные"
"","","","","","товары, работы и"
"","","","","","услуги"
"производство мебели","-","-","-","","-"
"производство прочих готовых изделий","…1)","…1)","-","","-"
"обеспечение электрической энергией, газом","","","","",""
"и паром; кондиционирование воздуха","2396,2","1739,9","-","","-"
"водоснабжение; водоотведение, организация","","","","",""
"сбора и утилизации отходов, деятельность","","","","",""
"по ликвидации загрязнений","300,5","293,8","-","","-"
"строительство","26,1","24,4","-","","-"
"торговля оптовая и розничная; ремонт","","","","",""
"автотранспортных средств и мотоциклов","143,3","141,3","-","","…1)"
"в том числе:","","","","",""
"торговля оптовая и розничная","","","","",""
"автотранспортными средствами и","","","","",""
"мотоциклами и их ремонт","…1)","…1)","-","","-"
"торговля оптовая, кроме оптовой торговли","","","","",""
"автотранспортными средствами и","","","","",""
"мотоциклами","55,6","53,6","-","","-"
"торговля розничная, кроме торговли авто-","","","","",""
"транспортными средствами и мотоциклами","86,7","86,7","-","","…1)"
"транспортировка и хранение","12,2","11,8","-","","-"
"деятельность гостиниц и предприятий обще-","","","","",""
"ственного питания","5,3","5,3","-","","-"
"деятельность в области информации и связи","…1)","…1)","-","","-"
"деятельность финансовая и страховая","-","-","-","","-"
"деятельность по операциям с недвижимым","","","","",""
"имуществом","18,2","16,2","-","","-"
"деятельность профессиональная, научная и","","","","",""
"техническая","3,1","3,1","-","","…1)"
"деятельность административная и","","","","",""
"сопутствующие дополнительные услуги","41,0","41,0","-","","-"
"государственное управление и обеспечение","","","","",""
"военной безопасности;","","","","",""
"социальное обеспечение","…1)","…1)","-","","-"
"образование","…1)","…1)","-","","-"
"деятельность в области здравоохранения и","","","","",""
"социальных услуг","…1)","…1)","-","","-"
"деятельность в области культуры, спорта,","","","","",""
"организации досуга и развлечений","-","-","-","","-"
"предоставление прочих видов услуг","1,6","1,6","-","","-"
