"","","","","","Продолжение табл. 7.1"
"","2014","2015","2016","2017","2018"
"Численность студентов в средних профессио-","","","","",""
"нальных организациях, человек","31659","33161","47310","47533","48342"
"в том числе:","","","","",""
"в государственных и муниципальных","30278","31605","45674","45698","46198"
"на 10 000 человек населения","127,0","133,0","193,1","194,5","198,0"
"в негосударственных","1381","1556","1636","1835","2144"
"Принято студентов в организации среднего про-","","","","",""
"фессионального образования, человек","10384","10758","15047","15855","16282"
"в том числе:","","","","",""
"в государственные и муниципальные","9855","10170","14401","15096","15353"
"в негосударственные","529","588","646","759","929"
"Выпущено специалистов из организаций среднего","","","","",""
"профессионального образования, человек","6950","6620","11734","11899","11585"
"в том числе:","","","","",""
"из государственных и муниципальных","6593","6264","11369","11517","11154"
"из негосударственных","357","356","365","382","431"
"Число организаций высшего профессионального","","","","",""
"образования","10/18","10/16","10/13","7/10","7/10"
"в том числе:","","","","",""
"государственных и муниципальных","7/11","7/11","7/9","7/8","7/8"
"негосударственных","3/7","3/5","3/4","-/2","-/2"
"Численность обучающихся в организациях выс-","","","","",""
"шего профессионального образования, человек","69252","60711","52127","51129","50297"
"в том числе:","","","","",""
"в государственных и муниципальных","57217","51798","49347","49845","49250"
"на 10 000 человек населения","239,9","217,9","208,6","212,1","211,1"
"в негосударственных","12035","8913","2780","1284","1047"
"Принято студентов в организации высшего про-","","","","",""
"фессионального образования, человек","14520","14080","12984","13780","13197"
"в том числе:","","","","",""
"в государственные и муниципальные","12970","12752","12644","13508","12945"
"в негосударственные","1550","1328","340","272","252"
"Выпущено специалистов из организаций высшего","","","","",""
"профессионального образования, человек","14836","15092","13265","10458","10255"
"в том числе:","","","","",""
"из государственных и муниципальных","12852","13394","12009","10023","9993"
"из негосударственных","1984","1698","1256","435","262"
