"","24.4. ИНВЕСТИЦИИ В ОСНОВНОЙ КАПИТАЛ ПО ФОРМАМ СОБСТВЕННОСТИ","","","",""
"","(без субъектов малого предпринимательства и объема инвестиций,","","","",""
"","не наблюдаемых прямыми статистическими методами)","","","",""
"","2014","2015","2016","2017","2018"
"","","","Млн рублей","",""
"Инвестиции в основной капитал – всего","52598,5","44208,7","42033,4","48555,8","61918,3"
"в том числе по формам собственности:","","","","",""
"государственная","12706,1","12973,6","11258,7","11077,1","14621,7"
"муниципальная","6737,2","4686,1","4317,9","3618,6","4154,8"
"частная","21130,1","17557,8","18505,3","25172,0","30243,5"
"смешанная российская","1961,0","2438,7","2303,2","2369,4","6784,1"
"прочие","10064,1","6552,5","5648,3","6318,7","6114,2"
"","","","В процентах к итогу","",""
"Инвестиции в основной капитал – всего","100","100","100","100","100"
"в том числе по формам собственности:","","","","",""
"государственная","24,2","29,4","26,8","22,8","23,6"
"муниципальная","12,8","10,6","10,3","7,5","6,7"
"частная","40,2","39,7","44,0","51,8","48,8"
"смешанная российская","3,7","5,5","5,4","4,9","11,0"
"прочие","19,1","14,8","13,5","13,0","9,9"
