"","5.11. РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ БЕЗРАБОТНЫХ в возрасте 15 лет и старше","","","","",""
"","ПО ВИДАМ ЭКОНОМИЧЕСКОЙДЕЯТЕЛЬНОСТИ ПО ПОСЛЕДНЕМУ МЕСТУ РАБОТЫ","","","","",""
"","в 2018 г.1)","","","","",""
"","","Тыс. человек","","","В процентах к итогу",""
"","всего","мужчины женщины","","всего","мужчины женщины",""
"Безработные – всего","70,3","36,0","34,3","100","100","100"
"Имеют опыт работы","56,3","29,8","26,4","80,1","82,9","77,0"
"Сельское, лесное хозяйство, охота, рыболов-","","","","","",""
"ство и рыбоводство","11,7","6,0","5,7","16,6","16,5","16,6"
"Добыча полезных ископаемых","0,5","0,4","0,1","0,7","1,0","0,3"
"Обрабатывающие производства","8,1","6,4","1,7","11,5","17,7","5,0"
"Обеспечение электрической энергией, газом","","","","","",""
"и паром; кондиционирование воздуха","1,8","1,5","0,3","2,5","4,1","0,9"
"Водоснабжение; водоотведение, организация","","","","","",""
"сбора и утилизации отходов, деятельность по","","","","","",""
"ликвидации загрязнений","0,2","-","0,2","0,3","-","0,5"
"Строительство","4,6","4,2","0,4","6,5","11,6","1,1"
"Торговля оптовая и розничная; ремонт авто-","","","","","",""
"транспортных средств и мотоциклов","11,0","3,2","7,7","15,6","8,9","22,6"
"Транспортировка и хранение","3,8","1,8","2,0","5,4","5,0","5,8"
"Деятельность гостиниц и предприятий общест-","","","","","",""
"венного питания","0,5","0,3","0,2","0,6","0,7","0,6"
"Деятельность в области информации и связи","0,9","0,4","0,5","1,2","1,1","1,4"
"Деятельность финансовая и страховая","0,6","0,3","0,3","0,8","0,9","0,8"
"Деятельность по операциям с недвижимым","","","","","",""
"имуществом","0,1","-","0,1","0,2","-","0,4"
"Деятельность профессиональная, научная и","","","","","",""
"техническая","0,3","0,1","0,2","0,4","0,3","0,4"
"Деятельность административная и сопутствую-","","","","","",""
"щие дополнительные услуги","1,1","1,0","0,1","1,6","2,9","0,3"
"Государственное управление и обеспечение во-","","","","","",""
"енной безопасности; социальное обеспечение","2,8","1,2","1,6","4,0","3,4","4,6"
"Образование","4,2","1,6","2,6","6,0","4,3","7,7"
"Деятельность в области здравоохранения и","","","","","",""
"социальных услуг","2,5","0,8","1,7","3,6","2,3","4,9"
"Деятельность в области культуры и спорта, ор-","","","","","",""
"ганизации досуга и развлечений","0,8","0,1","0,7","1,1","0,3","1,9"
"Предоставление прочих видов услуг","1,1","0,7","0,4","1,5","1,8","1,2"
"Не имеют опыта работы","14,0","6,1","7,9","19,9","17,1","23,0"
