"","8.1. МЕДИЦИНСКИЕ ОРГАНИЗАЦИИ","","","",""
"","(на конец года)","","","",""
"","2014","2015","2016","2017","2018"
"Число больничных организаций самостоятельных и","","","","",""
"входящих в состав","131","132","134","129","129"
"Число больничных коек:","","","","",""
"всего","24028","23195","22929","22248","21473"
"на 10 000 человек  населения","100,8","97,6","96,9","94,7","92,0"
"Число врачебных организаций, оказывающих амбу-","","","","",""
"латорно-поликлиническую помощь населению (са-","","","","",""
"мостоятельных)","74","67","58","64","57"
"Мощность амбулаторно-поликлинических организа-","","","","",""
"ций (число посещений в смену)","","","","",""
"всего, тыс.","71,2","71,4","72,3","71,1","71,1"
"на 10 000 человек населения, посещений","298,8","300,5","305,5","302,5","304,8"
