"","8.14. ЗАБОЛЕВАЕМОСТЬ ЗЛОКАЧЕСТВЕННЫМИ НОВООБРАЗОВАНИЯМИ1)","","","",""
"","2014","2015","2016","2017","2018"
"Выявлено больных с впервые в жизни","","","","",""
"установленным диагнозом","","","","",""
"всего, человек","11491","12107","11729","12228","12466"
"на 100 000 человек населения","481,3","508,5","494,6","518,6","532,4"
"Численность больных, состоящих на","","","","",""
"учете в лечебно-профилактических","","","","",""
"учреждениях (на конец года)","","","","",""
"всего, человек","63759","63471","64770","67420","70363"
"на 100 000 человек населения","2673,5","2670,5","2737,9","2859,3","3005,1"
"","1) По данным Министерства здравоохранения Алтайского края.","","","",""
