"","6.36. РАСПРЕДЕЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ РАЗЛИЧНОГО УРОВНЯ","","","",""
"","БЛАГОСОСТОЯНИЯ ПО РАЗМЕРУ ОБЩЕЙ (ПОЛЕЗНОЙ) ПЛОЩАДИ ЖИЛОГО","","","",""
"","ПОМЕЩЕНИЯ, ПРИХОДЯЩЕЙСЯ В СРЕДНЕМ НА ОДНОГО ПРОЖИВАЮЩЕГО, в 2018 г.","","","",""
"","(по материалам выборочного обследования бюджетов домашних хозяйств;","","","",""
"","на конец года; в процентах от общего числа домохозяйств соответствующей группы)","","","",""
"","","Группы населения в зависимости от уровня доходов1)","","",""
"","первая","вторая","третья","четвертая","пятая"
"","(с наи-","","","","(с наи-"
"","меньшими","","","","большими"
"","доходами)","","","","доходами)"
"Распределение домаш-","","","","",""
"них хозяйств по площа-","","","","",""
"ди жилищ, приходящей-","","","","",""
"ся в среднем на одного","","","","",""
"проживающего, м2:","100","100","100","100","100"
"до 9,0","14","1","7","-","-"
"9,1-13,0","14","11","2","9","6"
"13,1-15,0","14","6","4","1","4"
"15,1-20,0","21","21","18","15","9"
"20,1-25,0","15","22","20","15","5"
"25,1-30,0","9","13","14","20","13"
"30,1-40,0","8","10","13","12","21"
"40,1 и более","5","16","22","28","42"
