"","6.12. РАСПРЕДЕЛЕНИЕ ОБЩЕГО ОБЪЕМА ДЕНЕЖНЫХ ДОХОДОВ НАСЕЛЕНИЯ","","","",""
"","(в процентах)","","","",""
"","2014","2015","2016","2017","2018"
"Денежные доходы – всего","100","100","100","100","100"
"в том числе по 20-ти процентным груп-","","","","",""
"пам населения:","","","","",""
"первая (с наименьшими доходами)","","","","",""
"","6,1","6,2","6,2","6,1","6,1"
"вторая","","","","",""
"","10,9","11,1","11,0","11,0","11,0"
"третья","","","","",""
"","15,8","15,9","15,9","15,8","15,8"
"четвертая","","","","",""
"","22,9","22,9","22,9","22,9","22,9"
"пятая (с наибольшими доходами)","","","","",""
"","44,3","43,9","44,0","44,2","44,2"
"Коэффициент Джини  (индекс концен-","","","","",""
"трации доходов)","0,379","0,374","0,375","0,377","0,378"
