"","6.7. ЧИСЛЕННОСТЬ ПЕНСИОНЕРОВ И СРЕДНИЙ РАЗМЕР НАЗНАЧЕННЫХ","","","",""
"","МЕСЯЧНЫХ ПЕНСИЙ ПО ВИДАМ ПЕНСИОННОГО ОБЕСПЕЧЕНИЯ","","","",""
"","(на 1 января года, следующего за отчетным)","","","",""
"","2014","2015","2016","2017","2018"
"","","Численность пенсионеров, человек","","",""
"Все пенсионеры","737490","749588","757961","762092","766249"
"в том числе получающие пенсии:","","","","",""
"по старости","611277","623875","633889","639156","644202"
"по инвалидности","25946","24353","23028","21656","20695"
"по случаю потери кормильца (на каждого","","","","",""
"нетрудоспособного члена семьи)","27162","27270","26935","26346","24163"
"пострадавшие в результате радиационных и","","","","",""
"техногенных катастроф и члены их семей","3629","3155","3062","3027","3026"
"федеральные государственные гражданские","","","","",""
"служащие","1246","1270","1341","1375","1390"
"летчики-испытатели","1","1","1","1","1"
"социальные","68229","69664","69705","70531","72772"
"","","В том числе численность работающих пенсионеров","","",""
"Все пенсионеры","201567","213090","1218931)","120636","121883"
"в том числе получающие пенсии:","","","","",""
"по старости","188409","200164","110697","109474","110786"
"по инвалидности","7738","7369","6331","6200","6152"
"по случаю потери кормильца (на каждого","","","","",""
"нетрудоспособного члена семьи)","395","498","354","317","305"
"пострадавшие в результате радиационных и","","","","",""
"техногенных катастроф и члены их семей","1512","1337","823","776","711"
"федеральные государственные гражданские","","","","",""
"служащие","255","276","175","149","130"
"летчики-испытатели","-","-","-","-","-"
"социальные","3258","3446","3513","3720","3799"
"","","Средний размер назначенных месячных пенсий, рублей","","",""
"Все пенсионеры","10063","11073","16379","12252","12984"
"в том числе получающие пенсии:","","","","",""
"по старости","10528","11581","16877","12842","13632"
"по инвалидности","7106","7776","12992","8472","8901"
"по случаю потери кормильца (на каждого","","","","",""
"нетрудоспособного члена семьи)","8444","9293","14520","10273","11238"
"пострадавшие в результате радиационных и","","","","",""
"техногенных катастроф и члены их семей","10922","11194","16221","11886","12519"
"федеральные государственные гражданские","","","","",""
"служащие","13368","14617","20089","16304","17125"
