"24.7. СТРУКТУРА ИНВЕСТИЦИЙ В ОСНОВНОЙ КАПИТАЛ",""
"ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ",""
"(без субъектов малого предпринимательства и объема инвестиций,",""
"не наблюдаемых прямыми статистическими методами; в процентах к итогу)",""
"","2018"
"Всего","100"
"в том числе по видам деятельности:",""
"сельское, лесное хозяйство, охота, рыболовство, рыбоводство","9,6"
"добыча полезных ископаемых","3,6"
"обрабатывающие производства","23,2"
"из них:",""
"производство пищевых продуктов","4,5"
"производство напитков","0,8"
"производство текстильных изделий","0,4"
"производство одежды","…1)"
"обработка древесины и производство изделий из дерева и пробки, кроме мебели,",""
"производство изделий из соломки и материалов для плетения","9,7"
"производство бумаги и бумажных изделий","…1)"
"деятельность полиграфическая и копирование носителей информации","0,0"
"производство кокса и нефтепродуктов","…1)"
"производство химических веществ и химических продуктов","1,2"
"производство лекарственных средств и материалов, применяемых в медицинских",""
"целях","1,0"
"производство резиновых и пластмассовых изделий","0,5"
"производство прочей неметаллической минеральной продукции","1,1"
"производство металлургическое","…1)"
"производство готовых металлических изделий, кроме машин и оборудования","1,0"
"производство компьютеров, электронных и оптических изделий","0,2"
"производство электрического оборудования","0,1"
"производство машин и оборудования, не включенных в другие группировки","0,2"
"производство автотранспортных средств, прицепов и полуприцепов","0,2"
"производство прочих транспортных средств и оборудования","0,8"
"производство мебели","-"
"производство прочих готовых изделий","0,0"
"ремонт и монтаж машин и оборудования","0,0"
"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","8,7"
"водоснабжение; водоотведение, организация сбора и утилизация отходов, деятель-",""
"ность по ликвидации загрязнений","1,6"
"строительство","0,4"
"торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов","3,4"
"транспортировка и хранение","20,3"
"деятельность гостиниц и предприятий общественного питания","0,1"
"деятельность в области информации и связи","4,1"
"деятельность финансовая и страховая","0,7"
"деятельность по операциям с недвижимым имуществом","11,2"
"деятельность профессиональная, научная и техническая","0,4"
"деятельность административная и сопутствующие дополнительные услуги","0,1"
"государственное управление",""
"и обеспечение военной безопасности; социальное обеспечение","2,4"
"образование","3,4"
"деятельность в области здравоохранения и социальных услуг","5,4"
"деятельность в области культуры, спорта, организации досуга и развлечений","1,3"
"предоставление прочих видов услуг","0,1"
