"","","","","Продолжение табл. 7.4"
"","Численность пе-","","Из них имеют образование, процентов",""
"","дагогических ра-","","",""
"","","высшее","из них","среднее"
"","ботников, чело-","","",""
"","","","педагогиче-","профессио-"
"","век","","",""
"","","","ское","нальное1)"
"2015","730","40,5","34,7","56,4"
"2016","720","42,5","36,4","55,6"
"2017","687","46,4","41,6","52,3"
"2018","683","46,7","42,5","52,6"
"учителя-логопеды","","","",""
"2014","268","95,1","94,8","3,4"
"2015","272","97,4","93,8","2,2"
"2016","272","96,0","95,6","3,3"
"2017","274","96,0","95,3","3,6"
"2018","267","95,5","94,8","4,1"
"учителя-дефектологи","","","",""
"2014","50","98,0","98,0","2,0"
"2015","50","96,0","96,0","4,0"
"2016","47","95,7","91,5","4,3"
"2017","49","98,0","98,0","2,0"
"2018","56","98,2","94,6","1,8"
