"","","6.29. БЛАГОУСТРОЙСТВО ЖИЛИЩНОГО ФОНДА","","","","","",""
"","","","(на конец года, процентов)","","","","",""
"","","","Удельный вес общей площади, оборудованной","","","","",""
"","водопро-","водоотве-","","отопле-","ваннами","газом","горячим","наполь-"
"","водом","дением","","нием","(душем)","(сетевым,","водо-","ными"
"","","(канали-","","","","сжижен-","снабже-","электро-"
"","","зацией)","","","","ным)","нием","плитами"
"Весь жилищный фонд","","","","","","","",""
"2014","78,8","66,5","","87,7","50,9","60,2","51,2","30,9"
"2015","79,2","67,2","","88,0","51,4","59,7","51,8","31,7"
"2016","79,6","67,6","","88,3","51,9","59,2","52,2","32,2"
"2017","80,2","67,9","","88,9","52,2","58,9","52,6","32,7"
"2018","81,0","68,7","","89,5","53,2","58,6","53,5","33,1"
"Городской","","","","","","","",""
"жилищный фонд","","","","","","","",""
"2014","89,3","83,2","","90,8","76,0","39,4","77,3","51,0"
"2015","89,5","83,5","","91,0","76,4","38,7","77,7","51,8"
"2016","89,7","83,8","","91,2","76,7","38,1","77,9","52,5"
"2017","89,8","84,0","","91,4","77,0","37,8","78,4","53,0"
"2018","90,0","84,3","","91,5","77,3","37,3","78,7","53,7"
"Сельский","","","","","","","",""
"жилищный фонд","","","","","","","",""
"2014","67,2","48,1","","84,3","23,0","83,3","22,3","8,7"
"2015","67,7","48,8","","84,7","23,4","83,3","22,7","9,1"
"2016","68,0","49,2","","85,0","23,6","83,2","22,9","9,1"
"2017","69,1","49,4","","86,1","23,8","83,2","23,0","9,4"
"2018","70,6","50,7","","87,0","25,2","83,4","24,4","9,3"
"","6.30. РАЗВИТИЕ ИНФРАСТРУКТУРЫ СЕЛЬСКОЙ МЕСТНОСТИ","","","","","","",""
"","","","2014","","2015","2016","2017","2018"
"","Ввод в действие в сельской местности:","","","","","","",""
"водопроводных сетей, км","","","22,6","","36,4","18,6","45,0","25,0"
"газовых сетей,  км","","","173,6","","125,8","136,8","103,9","167,1"
"АТС, тыс. номеров","","","-","","-","2,5","-","-"
"","линий электропередачи для электрифика-","","","","","","",""
"ции сельского хозяйства,  км:","","","","","","","",""
"напряжением 0,4 кВ","","","233,8","","240,6","219,4","123,4","135,1"
"напряжением 6-20 кВ","","","53,1","","52,9","134,6","126,1","77,9"
"напряжением 35 кВ и выше","","","0,4","","107,3","-","-","-"
"","","6.31. ПРЕДОСТАВЛЕНИЕ ЖИЛЫХ ПОМЕЩЕНИЙ","","","","","",""
"","","","2014","","2015","2016","2017","2018"
"","Число семей (включая одиночек), состоя-","","","","","","",""
"","щих на учете на получение жилья (на ко-","","","","","","",""
"нец года)","","","56048","55738","","51810","47455","43048"
"","в процентах  от общего числа семей","","","","","","",""
"(включая одиночек)","","","5,8","","5,7","5,3","4,9","4,4"
"","Число семей (включая одиночек), полу-","","","","","","",""
"","чивших жилье и улучшивших жилищные","","","","","","",""
"условия за год","","","1868","","1521","1511","2248","1297"
"","в процентах  от числа семей, состоящих","","","","","","",""
"на учете на получение жилья","","","3,5","","2,7","2,7","4,3","2,7"
