"","7.4. ЧИСЛЕННОСТЬ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ","","",""
"","ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ","","",""
"","(на конец года)","","",""
"","Численность","","Из них имеют образование, процентов",""
"","педагогиче-","","",""
"","","высшее","из них","среднее"
"","ских работни-","","",""
"","","","педагогиче-","профессио-"
"","ков, человек","","",""
"","","","ское","нальное1)"
"Педагогические работники – всего","","","",""
"2014","9899","42,0","38,9","53,6"
"2015","10083","44,2","41,4","51,9"
"2016","10099","45,5","42,9","51,7"
"2017","9845","46,2","43,8","50,8"
"2018","9820","47,5","45,3","50,5"
"из них:","","","",""
"воспитатели (включая старших воспитате-","","","",""
"лей)","","","",""
"2014","8102","38,3","35,6","56,9"
"2015","8251","40,6","38,1","55,3"
"2016","8253","41,8","39,6","55,0"
"2017","8148","42,6","40,4","53,9"
"2018","8171","44,0","41,9","53,8"
"музыкальные руководители","","","",""
"2014","720","39,4","33,5","57,9"
