"","","","","","Продолжение табл. 8.24"
"","2014","2015","2016","2017","2018"
"активный туберкулез","780","772","760","657","646"
"алкоголизм и алкогольные психозы","568","562","564","463","485"
"эрозия и эктропион шейки матки","17175","15678","15626","14154","12502"
"расстройства менструаций","34426","33061","35677","36832","36860"
"бесплодие","2070","4319","3901","3695","3077"
"осложнения беременности, родов и по-","","","","",""
"слеродового периода","85018","80608","79460","68813","62192"
"Зарегистрировано больных с диагнозом,","","","","",""
"установленным впервые в жизни, на","","","","",""
"100 000 женщин:","","","","",""
"злокачественные новообразования","458,1","488,8","469,5","500,0","508,9"
"в том числе:","","","","",""
"молочной железы","81,3","95,5","93,0","89,6","98,3"
"шейки и тела матки, плаценты","55,1","61,7","56,7","55,5","57,9"
"яичника","18,8","18,8","19,7","20,9","20,6"
"активный туберкулез","60,7","60,3","59,6","51,8","51,3"
"алкоголизм и алкогольные психозы","44,2","43,9","44,2","36,5","38,5"
"эрозия и эктропион шейки матки","1336,9","1224,0","1224,8","1115,5","992,2"
"расстройства менструаций","2679,8","2581,2","2796,3","2902,7","2925,5"
"бесплодие","161,1","337,2","305,8","291,2","244,2"
"осложнения беременности, родов и по-","","","","",""
"слеродового  периода2)","15099,4","14503,5","14679,6","12678,3","11579,3"
