"","","6.13. ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА","","",""
"","","(в среднем на душу населения, рублей в месяц)","","",""
"","Все","","Из него по социально-демографическим","","Соотношение"
"","население","","группам населения","","среднедушевых"
"","","","","","денежных доходов"
"","","трудоспо-","пенсионеры","дети",""
"","","","","","населения"
"","","собное","","",""
"","","","","","с величиной про-"
"","","население","","",""
"","","","","","житочного мини-"
"","","","","","мума, процентов"
"2014","","","","",""
"I квартал","7082","7548","5746","7216","196,0"
"II квартал","7586","8135","6170","7524","221,5"
"III квартал","7443","7989","6057","7351","249,5"
"IV квартал","7580","8116","6179","7543","314,2"
"2015","","","","",""
"I квартал","8782","9396","7142","8789","193,0"
"II квартал","8865","9490","7213","8847","229,8"
"III квартал","8761","9383","7120","8739","230,9"
"IV квартал","8785","9400","7154","8772","293,2"
"2016","","","","",""
"I квартал","8928","9542","7263","8965","192,1"
"II квартал","8956","9572","7275","9011","221,1"
"III квартал","8931","9549","7243","8987","235,5"
"IV квартал","8708","9269","7069","8909","308,3"
"2017","","","","",""
"I квартал","8991","9542","7277","9331","199,8"
"II квартал","9359","10002","7592","9434","222,7"
"III квартал","9452","10090","7693","9536","231,2"
"IV квартал","8657","9196","7009","8950","319,0"
"2018","","","","",""
"I квартал","9091","9575","7544","9446","213,3"
"II квартал","9490","9906","8152","9811","224,4"
"III квартал","9559","9995","8199","9835","223,3"
"IV квартал","9334","9761","8003","9602","310,2"
