"","","5.6. РАСПРЕДЕЛЕНИЕ ЧИСЛЕННОСТИ ЗАНЯТЫХ в возрасте 15-72 лет","","","","",""
"","","","ПО УРОВНЮ ОБРАЗОВАНИЯ1)","","","",""
"","","","(в процентах к итогу)","","","",""
"Годы","Занятые –","","","В том числе имеют образование","","",""
"","всего","","","","","",""
"","","высшее","","среднее профессиональное","среднее","основное","не имеют"
"","","","","","общее","общее","основного"
"","","","по программе","по программе","","",""
"","","","","","","","общего"
"","","","подготовки","подготовки","","",""
"","","","специалистов","квалифицирован-","","",""
"","","","среднего звена","ных рабочих","","",""
"","","","","(служащих)","","",""
"2014","100","25,6","22,7","19,8","27,0","4,5","0,4"
"2015","100","28,6","24,1","20,4","22,1","4,6","0,2"
"2016","100","28,4","25,9","18,2","21,5","5,6","0,4"
"2017","100","29,1","25,8","19,0","21,1","4,3","0,7"
"2018","100","27,4","23,6","20,3","23,2","5,0","0,6"
