"","7.12. ПРИЕМ В ВЫСШИЕ ПРОФЕССИОНАЛЬНЫЕ ОРГАНИЗАЦИИ","","","",""
"","","","ПО ВИДАМ ОБУЧЕНИЯ","",""
"","","","(человек)","",""
"Годы","Принято","","","В том числе на отделения",""
"","студентов –","","","",""
"","","очные","","очно-заочные","заочные"
"","всего","","","",""
"","","","","(вечерние)",""
"","","","Всего","",""
"2014","14520","8438","","182","5900"
"2015","14080","8590","","92","5398"
"2016","12984","8142","","118","4724"
"2017","13780","8659","","160","4961"
"2018","13197","8247","","338","4612"
"","","Государственные и муниципальные высшие профессиональные организации","","",""
"2014","12970","7971","","172","4827"
"2015","12752","8275","","92","4385"
"2016","12644","8082","","118","4444"
"2017","13508","8623","","140","4745"
"2018","12945","8200","","243","4502"
"","","Негосударственные высшие профессиональные организации","","",""
"2014","1550","467","","10","1073"
"2015","1328","315","","-","1013"
"2016","340","60","","-","280"
"2017","272","36","","20","216"
"2018","252","47","","95","110"
