"","25.3. ИНДЕКСЫ ПОТРЕБИТЕЛЬСКИХ ЦЕН","","","",""
"","НА ОТДЕЛЬНЫЕ ГРУППЫ ПРОДОВОЛЬСТВЕННЫХ ТОВАРОВ","","","",""
"","(декабрь к декабрю предыдущего года; в процентах)","","","",""
"","2014","2015","2016","2017","2018"
"Продовольственные товары","115,4","112,4","104,3","99,0","104,1"
"мясо и птица","120,7","102,8","99,4","96,8","109,4"
"колбасные изделия","115,4","108,9","104,3","99,4","106,8"
"мясные консервы","114,5","126,2","102,7","101,5","101,7"
"рыбопродукты","122,4","119,9","108,3","105,0","101,4"
"масло сливочное","118,6","104,5","142,1","104,1","101,2"
"масло подсолнечное","107,3","140,2","103,3","85,2","108,3"
"молоко и молочная продукция","117,1","102,5","107,3","101,8","101,3"
"сыр","112,7","107,9","115,5","97,5","110,7"
"яйца","103,7","108,3","101,8","81,3","125,4"
"сахар-песок","142,5","110,6","97,0","75,2","132,6"
"кондитерские изделия","108,9","123,4","105,9","98,2","102,2"
"хлеб и хлебобулочные изделия","110,2","106,4","106,5","99,4","102,3"
"крупа и бобовые","148,4","109,3","107,0","80,0","104,9"
"макаронные изделия","106,3","118,6","105,8","98,7","99,8"
"алкогольные напитки","114,2","110,6","105,1","102,9","101,3"
