"","","","","Продолжение табл. 11.6"
"","Ресурсы","","Использование",""
"","валовая","оплата труда","другие","валовая"
"","добавленная","наемных","чистые","прибыль"
"","стоимость","работников","налоги на","экономики"
"","","","производство","и валовые"
"","","","","смешанные"
"","","","","доходы"
"Государственное управление и обеспечение","","","",""
"военной безопасности; социальное обеспече-","","","",""
"ние","36458,3","35330,9","133,4","994,0"
"Образование","21987,1","20320,0","293,1","1373,9"
"Деятельность в области здравоохранения и со-","","","",""
"циальных услуг","28746,9","25115,2","395,3","3236,4"
"Деятельность в области культуры, спорта, ор-","","","",""
"ганизации досуга и развлечений","3606,6","2721,4","55,1","830,1"
"Предоставление прочих видов услуг","3808,9","794,7","22,4","2991,7"
"Деятельность домашних хозяйств как работо-","","","",""
"дателей","-","-","-","-"
"Итого по видам экономической деятельности","508756,0","211958,3","8568,9","288228,8"
