"","8.22. ЗАБОЛЕВАЕМОСТЬ ДЕТЕЙ В ВОЗРАСТЕ 0-14 лет И","","","",""
"","ПОДРОСТКОВ В ВОЗРАСТЕ 15-17 лет НАРКОМАНИЕЙ1)","","","",""
"","2014","2015","2016","2017","2018"
"Выявлено больных с диагнозом, установленным","","","","",""
"впервые в жизни:","","","","",""
"всего, человек","1","3","-","-","-"
"дети","-","-","-","-","-"
"подростки","1","3","-","-","-"
"на 10 000 человек населения соответствующего","","","","",""
"возраста","","","","",""
"дети","-","-","-","-","-"
"подростки","0,2","0,5","-","-","-"
"Численность больных, состоящих на учете","","","","",""
"в лечебно-профилактических учреждениях","","","","",""
"(на конец года):","","","","",""
"всего, человек","4","11","5","2","-"
"дети","-","-","-","-","-"
"подростки","4","11","5","2","-"
"на 10 000 человек населения соответствующего","","","","",""
"возраста","","","","",""
"дети","-","-","-","-","-"
"подростки","0,6","1,7","0,8","0,3","-"
"Кроме того, численность больных, состоящих на про-","","","","",""
"филактическом учете в связи с употреблением нарко-","","","","",""
"тических веществ с вредными последствиями:","","","","",""
"всего, человек","146","129","85","54","64"
"дети","12","8","5","3","5"
"подростки","137","121","80","51","59"
"на 10 000 человек населения соответствующего","","","","",""
"возраста","","","","",""
"дети","0,3","0,2","0,1","0,1","0,1"
"подростки","21,3","18,6","12,0","7,4","8,3"
