"","7.8. СРЕДНИЕ СПЕЦИАЛЬНЫЕ ПРОФЕССИОНАЛЬНЫЕ ОРГАНИЗАЦИИ","","","","","",""
"","","","(на начало учебного года)","","","",""
"Годы","Число","В них","","В том числе обучавшихся на отделениях","","","На 10 000"
"","учебных","студентов –","","","","","человек"
"","","","очных","очно-","заочных","экстернат",""
"","заведений2)","всего,","","","","","населения"
"","","","","заочных","","",""
"","","человек","","","","","приходится"
"","","","","(вечерних)","","",""
"","","","","","","","студентов"
"","","","","Всего","","",""
"2014/15","38/2","31659","24484","420","6755","-","132,8"
"2015/16","42/3","33161","25673","496","6992","-","139,5"
"2016/173)","58/17","47310","40110","588","6612","-","200,0"
"2017/18","58/17","47533","40548","608","6377","-","202,3"
"2018/19","54/17","48342","41582","611","6149","-","207,2"
"","","Государственные и муниципальные средние профессиональные организации","","","","",""
"2014/15","35/2","30278","23449","420","6409","-","127,0"
"2015/16","39/3","31605","24493","496","6616","-","133,0"
"2016/17","55/16","45674","38785","588","6301","-","193,1"
"2017/18","54/16","45698","39028","608","6062","-","194,5"
"2018/19","50/16","46198","39781","600","5817","-","198,0"
"","","Негосударственные средние профессиональные организации","","","","",""
"2014/15","3","1381","1035","-","346","-","5,8"
"2015/16","3","1556","1180","-","376","-","6,5"
"2016/17","3/1","1636","1325","-","311","-","6,9"
"2017/18","4/1","1835","1520","-","315","-","7,8"
"2018/19","4/1","2144","1801","11","332","-","9,2"
