"","","","","Продолжение табл. 5.2"
"","Уровень участия","Уровень","Уровень","Уровень"
"","в рабочей силе","занятости","безработицы","зарегистрированной"
"","(численность населения,","(занятое население","(безработные","безработицы"
"","входящая в состав рабочей","к численности","к численности","(зарегистрированные"
"","силы,  к численности","населения","рабочей силы","безработные"
"","населения соответствую-","соответствующей","соответствующей","к численности"
"","щей возрастной группы)","возрастной группы)","возрастной группы)","рабочей силы)"
"Женщины","","","",""
"2014","57,6","53,7","6,8","1,6"
"2015","59,4","55,1","7,2","1,7"
"2016","58,2","53,0","8,9","1,5"
"2017","57,1","53,2","6,9","1,4"
"2018","58,9","55,3","6,2","1,3"
