"","6.21. СТРУКТУРА ПОТРЕБИТЕЛЬСКИХ РАСХОДОВ","","","",""
"","ДОМАШНИХ ХОЗЯЙСТВ ПО ОСНОВНЫМ ГРУППАМ ТОВАРОВ И УСЛУГ","","","",""
"","(по материалам выборочного обследования бюджетов домашних хозяйств; в процентах к итогу)","","","",""
"","2014","2015","2016","2017","2018"
"Потребительские расходы – всего","100","100","100","100","100"
"в том числе:","","","","",""
"продукты питания","30,3","31,8","32,3","33,8","32,5"
"алкогольные напитки, табачные изделия","2,9","3,0","3,3","3,3","3,2"
"одежда и обувь","9,0","9,1","9,3","9,1","7,8"
"жилищно-коммунальные услуги, топливо","11,4","13,3","13,2","13,8","13,3"
"предметы домашнего обихода, бытовая техника, уход","","","","",""
"за домом","6,4","7,4","5,5","5,4","5,5"
"здравоохранение","3,6","3,9","4,6","4,8","4,4"
"покупка транспортных средств и оплата транспортных","","","","",""
"услуг","19,9","14,3","15,0","11,8","15,6"
"связь","3,9","3,9","3,9","3,9","3,7"
"организация отдыха и культурных мероприятий","4,0","4,4","3,7","4,5","5,1"
"образование","1,4","0,5","0,6","0,7","0,5"
"гостиницы, кафе и рестораны","2,1","1,7","1,7","1,5","1,3"
"другие товары и услуги","5,1","6,7","6,9","7,4","7,1"
